selecao,conf,continente,host,rank_fifa,valor_eur_m,vitorias_4a,gols_elite,ast_elite,min_elite,is_UEFA,is_CONMEBOL,is_CAF,is_CONCACAF,is_AFC,is_OFC,is_Europa,is_AmericaSul,is_Africa,is_Asia,is_CONCACAF_reg,is_Oceania
África do Sul,CAF,África,FALSE,60,49.25,12,5,4,4500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Alemanha,UEFA,Europa,FALSE,10,947.00,26,95,85,62000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Arábia Saudita,AFC,Ásia,FALSE,61,40.68,14,2,1,2000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Argélia,CAF,África,FALSE,28,256.90,16,30,27,25000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Argentina,CONMEBOL,América do Sul,FALSE,1,807.50,30,45,40,38000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Austrália,AFC,Ásia,FALSE,27,77.45,14,12,10,10000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Áustria,UEFA,Europa,FALSE,24,245.20,18,38,33,32000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bélgica,UEFA,Europa,FALSE,9,547.50,20,42,38,36000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bósnia e Herzegovina,UEFA,Europa,FALSE,64,146.40,13,20,17,17000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Brasil,CONMEBOL,América do Sul,FALSE,6,928.20,22,65,58,48000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Cabo Verde,CAF,África,FALSE,67,49.25,12,10,8,8000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Canadá,CONCACAF,América do Norte,TRUE,30,198.65,15,20,17,17000,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Catar,AFC,Ásia,FALSE,56,19.93,16,1,1,900,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Colômbia,CONMEBOL,América do Sul,FALSE,13,302.35,20,32,28,26000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
